"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33,2.86093474312617E-05,9.43299688883226E-05,0.914393188418312,-0.404827231368589,0.914393188418311,-0.404827231368588,5.06044315546202E-05,8.45921349652563E-05
33.01,2.86696504421498E-05,9.44120343932941E-05,0.914252027369417,-0.405140947935586,0.914252027369416,-0.405140947935584,5.06849892260066E-05,8.46551065443279E-05
33.02,2.87300117764147E-05,9.44941204125517E-05,0.914110835930123,-0.405454500331158,0.914110835930121,-0.405454500331156,5.07655954527083E-05,8.47180964149625E-05
33.03,2.87904314789045E-05,9.45762268384988E-05,0.913969614053348,-0.405767888590276,0.913969614053347,-0.405767888590274,5.08462502039046E-05,8.47811044831437E-05
33.04,2.88509095944701E-05,9.46583535635338E-05,0.913828361692414,-0.406081112748863,0.913828361692412,-0.406081112748862,5.09269534488256E-05,8.4844130654917E-05
33.05,2.89114461679646E-05,9.47405004800495E-05,0.913687078801038,-0.40639417284379,0.913687078801036,-0.406394172843789,5.10077051567511E-05,8.49071748363894E-05
33.06,2.89720412442417E-05,9.48226674804338E-05,0.913545765333336,-0.406707068912862,0.913545765333334,-0.40670706891286,5.10885052970103E-05,8.49702369337298E-05
33.07,2.90326948681557E-05,9.49048544570683E-05,0.913404421243817,-0.407019800994814,0.913404421243816,-0.407019800994813,5.11693538389809E-05,8.50333168531688E-05
33.08,2.90934070845607E-05,9.49870613023297E-05,0.913263046487384,-0.407332369129306,0.913263046487382,-0.407332369129305,5.12502507520886E-05,8.50964145009999E-05
33.09,2.91541779383092E-05,9.50692879085886E-05,0.913121641019325,-0.407644773356912,0.913121641019323,-0.407644773356911,5.13311960058064E-05,8.51595297835781E-05
33.1,2.92150074742521E-05,9.51515341682098E-05,0.912980204795317,-0.407957013719112,0.912980204795316,-0.407957013719111,5.14121895696537E-05,8.52226626073215E-05
33.11,2.92758957372375E-05,9.52337999735522E-05,0.912838737771422,-0.408269090258288,0.912838737771421,-0.408269090258286,5.14932314131966E-05,8.52858128787107E-05
33.12,2.93368427721098E-05,9.53160852169687E-05,0.912697239904083,-0.408581003017713,0.912697239904082,-0.408581003017712,5.15743215060461E-05,8.53489805042893E-05
33.13,2.93978486237095E-05,9.53983897908063E-05,0.912555711150122,-0.408892752041549,0.912555711150121,-0.408892752041548,5.16554598178584E-05,8.54121653906637E-05
33.14,2.94589133368719E-05,9.54807135874055E-05,0.912414151466739,-0.409204337374833,0.912414151466738,-0.409204337374831,5.17366463183336E-05,8.54753674445037E-05
33.15,2.95200369564265E-05,9.55630564991008E-05,0.912272560811508,-0.409515759063474,0.912272560811507,-0.409515759063473,5.18178809772158E-05,8.55385865725423E-05
33.16,2.95812195271965E-05,9.56454184182202E-05,0.912130939142376,-0.409827017154247,0.912130939142374,-0.409827017154246,5.18991637642919E-05,8.56018226815763E-05
33.17,2.96424610939978E-05,9.57277992370855E-05,0.911989286417661,-0.410138111694784,0.911989286417659,-0.410138111694783,5.19804946493911E-05,8.56650756784661E-05
33.18,2.97037617016381E-05,9.58101988480118E-05,0.911847602596046,-0.410449042733564,0.911847602596044,-0.410449042733563,5.20618736023847E-05,8.57283454701362E-05
