"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33,-0.396164135823763,-0.284834646357136,0.510242851518148,-0.707122834444002,0.510242851518146,-0.707122834444001,-0.396178960903895,-0.284814010463496
33.01,-0.396132980584438,-0.284676307198239,0.510114207598224,-0.707293062500985,0.510114207598223,-0.707293062500985,-0.396147814696531,-0.284655650649999
33.02,-0.396102076745772,-0.284518027615374,0.509985271609999,-0.707463279376668,0.509985271609997,-0.707463279376668,-0.396116919867454,-0.284497350396183
33.03,-0.396071423450604,-0.284359807731285,0.509856044269783,-0.707633484621642,0.509856044269781,-0.707633484621642,-0.396086275559586,-0.284339109824766
33.04,-0.396041019844639,-0.284201647666843,0.50972652629176,-0.7078036777887,0.509726526291759,-0.7078036777887,-0.396055880918713,-0.284180929056591
33.05,-0.396010865076434,-0.284043547541057,0.509596718387998,-0.707973858432827,0.509596718387996,-0.707973858432826,-0.39602573509347,-0.284022808210644
33.06,-0.395980958297384,-0.283885507471092,0.509466621268453,-0.708144026111189,0.509466621268451,-0.708144026111189,-0.395995837235335,-0.283864747404059
33.07,-0.395951298661717,-0.283727527572275,0.509336235640985,-0.708314180383124,0.509336235640984,-0.708314180383124,-0.395966186498612,-0.283706746752142
33.08,-0.395921885326473,-0.283569607958115,0.509205562211366,-0.708484320810134,0.509205562211364,-0.708484320810134,-0.395936782040426,-0.283548806368373
33.09,-0.395892717451502,-0.283411748740309,0.509074601683285,-0.708654446955871,0.509074601683283,-0.708654446955871,-0.395907623020702,-0.283390926364426
33.1,-0.395863794199447,-0.28325395002876,0.508943354758364,-0.708824558386129,0.508943354758363,-0.708824558386128,-0.395878708602164,-0.283233106850179
33.11,-0.395835114735733,-0.283096211931588,0.508811822136164,-0.708994654668837,0.508811822136162,-0.708994654668837,-0.395850037950316,-0.283075347933725
33.12,-0.395806678228559,-0.282938534555141,0.508680004514194,-0.709164735374047,0.508680004514192,-0.709164735374046,-0.395821610233435,-0.282917649721389
33.13,-0.395778483848883,-0.282780918004009,0.508547902587919,-0.709334800073922,0.508547902587918,-0.709334800073922,-0.395793424622558,-0.282760012317737
33.14,-0.395750530770413,-0.282623362381036,0.508415517050775,-0.709504848342735,0.508415517050774,-0.709504848342734,-0.395765480291471,-0.282602435825587
33.15,-0.395722818169595,-0.282465867787331,0.508282848594172,-0.709674879756847,0.508282848594171,-0.709674879756847,-0.395737776416698,-0.282444920346025
33.16,-0.395695345225603,-0.282308434322282,0.508149897907505,-0.70984489389471,0.508149897907504,-0.709844893894709,-0.395710312177491,-0.282287465978417
33.17,-0.395668111120325,-0.282151062083568,0.508016665678164,-0.710014890336848,0.508016665678162,-0.710014890336848,-0.395683086755815,-0.282130072820417
33.18,-0.395641115038358,-0.281993751167169,0.50788315259154,-0.710184868665856,0.507883152591538,-0.710184868665856,-0.395656099336343,-0.281972740967981
33.19,-0.39561435616699,-0.28183650166738,0.507749359331038,-0.710354828466382,0.507749359331037,-0.710354828466382,-0.395629349106443,-0.281815470515383
33.2,-0.395587833696195,-0.281679313676822,0.507615286578085,-0.710524769325126,0.507615286578083,-0.710524769325126,-0.395602835256162,-0.28165826155522
33.21,-0.395561546818618,-0.281522187286453,0.507480935012133,-0.710694690830826,0.507480935012131,-0.710694690830826,-0.395576556978224,-0.281501114178427
33.22,-0.395535494729567,-0.281365122585582,0.507346305310675,-0.710864592574251,0.507346305310674,-0.71086459257425,-0.395550513468013,-0.281344028474291
33.23,-0.395509676627001,-0.281208119661877,0.507211398149251,-0.711034474148188,0.50721139814925,-0.711034474148188,-0.395524703923564,-0.281187004530459
33.24,-0.395484091711522,-0.281051178601379,0.507076214201455,-0.711204335147441,0.507076214201454,-0.711204335147441,-0.395499127545553,-0.28103004243295
33.25,-0.395458739186359,-0.280894299488516,0.506940754138945,-0.711374175168814,0.506940754138944,-0.711374175168814,-0.395473783537285,-0.280873142266169
33.26,-0.395433618257362,-0.280737482406107,0.506805018631452,-0.711543993811106,0.50680501863145,-0.711543993811105,-0.395448671104688,-0.280716304112913
33.27,-0.395408728132992,-0.280580727435379,0.506669008346784,-0.711713790675102,0.506669008346783,-0.711713790675102,-0.395423789456294,-0.280559528054391
33.28,-0.395384068024306,-0.28042403465598,0.506532723950843,-0.711883565363563,0.506532723950842,-0.711883565363563,-0.395399137803237,-0.280402814170226
